Group,Time,Date
u00 u13 u36 u49,275,23
u13 u46,1409,23
u13 u36 u49,0,23
u13 u36 u49,65,23
u13 u36 u49,80,23
u13 u36 u49,417,23
u08 u57,155,23
u49 u57,120,23
u13 u57,597,23
u13 u49,25,23
u13 u36 u57,542,23
u13 u36,427,23
u13 u36,577,23
u13 u36,652,23
u13 u36,702,23
u13 u36,717,23
u13 u36,742,23
u13 u36,777,23
u13 u36,1194,23
u13 u36,1219,23
u13 u36,1339,23
u13 u36 u57,200,24
u13 u36 u57,445,24
u13 u36 u57,545,24
u13 u36 u57,1168,24
u13 u36 u57,1188,24
u13 u36 u57,1253,24
u13 u36,0,24
u13 u36,20,24
u13 u36,55,24
u13 u36,70,24
u13 u36,210,24
u13 u36,275,24
u13 u36,290,24
u13 u36,325,24
u13 u36,380,24
u13 u36,400,24
u13 u36,420,24
u13 u36,460,24
u13 u36,530,24
u31 u57,145,24
u44 u45,110,25
u13 u44,30,25
u19 u31,485,25
u13 u36 u44,80,25
u13 u36,55,25
u13 u36 u41 u57,1384,26
u36 u57,1319,26
u05 u30 u32 u36 u49 u57,1217,27
u05 u57,592,27
u05 u27 u30 u57,537,27
u05 u36,1122,27
u05 u36,1152,27
u05 u25,327,27
u05 u25,387,27
u05 u25,412,27
u19 u57,427,27
u13 u36 u57,25,27
u13 u36 u57,80,27
u13 u36 u57,100,27
u13 u36 u57,115,27
u25 u36,206,27
u25 u36,231,27
u30 u32,1177,27
u05 u30 u36 u57,1352,27
u30 u32 u36 u57,1282,27
u05 u30 u36,1342,27
u05 u30 u32 u36 u57,1232,27
u13 u36,55,27
u13 u36,90,27
u13 u36 u41,370,28
u36 u49 u57,710,28
u36 u49 u57,755,28
u02 u13 u36 u49,330,28
u02 u13 u36 u49,515,28
u13 u36 u49,285,28
u13 u36 u49,655,28
u02 u13 u36 u49 u57,310,28
u02 u13 u36 u49 u57,490,28
u02 u13 u36 u49 u57,600,28
u13 u36 u57,1166,28
u13 u36 u57,1181,28
u13 u36 u57,1226,28
u13 u36 u49 u57,205,28
u13 u36 u49 u57,220,28
u13 u36 u49 u57,590,28
u13 u36 u49 u57,640,28
u13 u36 u49 u57,670,28
u05 u13 u36 u57,1261,28
u36 u49,265,28
u36 u49,695,28
u36 u49,730,28
u13 u36,1366,28
u13 u36,1386,28
